name,sku,barcode,category,pricingMode,price,discountEligible
White Sugar 1kg,GRO-SUG-1,4801000000011,Groceries,pc,65,true
Cooking Oil 1L,GRO-OIL-1,4801000000028,Groceries,pc,95,true
Soy Sauce 1L,GRO-SOY-1,4801000000035,Groceries,pc,55,true
Pork Belly,MEA-BELLY,4801000000042,Meat,kg,320,false
Ground Pork,MEA-GINIL,4801000000059,Meat,kg,280,false
Chicken Thigh,MEA-THIGH,4801000000066,Meat,kg,210,false
Pandesa,BAK-PAN,4801000000073,Bakery,pc,8,true
Ensaymada,BAK-ENS,4801000000080,Bakery,pc,25,true
Egg Tray 30s,GRO-EGG-30,4801000000097,Groceries,pc,250,true
Bottled Water 500ml,GRO-WATER,4801000000103,Groceries,pc,15,true
