name,sku,category,menuKind,price,budgetPrice,discountEligible,availableToday
Adobong Manok,ULAM-ADOB-CHK,Meat,meat,70,55,true,true
Adobong Baboy,ULAM-ADOB-PRK,Meat,meat,75,60,true,true
Beef Caldereta,ULAM-CALD,Meat,meat,90,70,true,true
Menudo,ULAM-MENU,Meat,meat,75,60,true,true
Pork Sisig,ULAM-SISIG,Meat,meat,80,65,true,true
Giniling,ULAM-GINIL,Meat,meat,70,55,true,true
Pinakbet,ULAM-PINAK,Veggie,veggie,60,45,true,true
Chopsuey,ULAM-CHOP,Veggie,veggie,65,50,true,true
Ginisang Sayote,ULAM-SAYOTE,Veggie,veggie,50,40,true,true
Tortang Talong,ULAM-TALONG,Veggie,veggie,55,45,true,true
Pork Sinigang,ULAM-SINI-PRK,Meat,meat,80,65,true,true
Fish Sinigang,ULAM-SINI-FISH,Meat,meat,75,60,true,true
Tinola,ULAM-TINOLA,Meat,meat,70,55,true,true
Cabagan Special,PAN-CAB,Pancit,pancit,95,,true,true
Pancit Canton,PAN-CANT,Pancit,pancit,80,,true,true
Plain Rice,RICE-1,Rice,rice,15,,true,true
Extra Rice,RICE-X,Rice,rice,15,,true,true
Softdrinks,DRK-SODA,Drink,drink,25,,true,true
Iced Tea,DRK-TEA,Drink,drink,25,,true,true
Bottled Water,DRK-WATER,Drink,drink,20,,true,true
Egg,XTRA-EGG,Extra,extra,15,,true,true
Tokwa,XTRA-TOKWA,Extra,extra,20,,true,false
